URN,Description,PlateID,PoleLatitude,PoleLongitude,symbol,pseudoQ,azi,OldAge,YoungAge,border,fill,psuedoQ
6950,Rosehill Formation,101,20,136,circle,2.897,0,428,425,black,byPlateId,0.711111111
6950,Rosehill Formation,101,-20,-44,circle,2.897,0,428,425,black,byPlateId,0.711111111
6951,East Mendips Volcanics,315,12.9,271,circle,3.3555,0,428,425,black,byPlateId,0.788888889
6951,East Mendips Volcanics,315,-12.9,91,circle,3.3555,0,428,425,black,byPlateId,0.788888889
6952,Lamprophyre dykes; Jersey,305,16,322,circle,1.456,0,440,414,black,byPlateId,0.466666667
6952,Lamprophyre dykes; Jersey,305,-16,142,circle,1.456,0,440,414,black,byPlateId,0.466666667
6953,Shemakha and Kubinsk Beds,301,-11,162,circle,2.766,0,436,419,black,byPlateId,0.688888889
6953,Shemakha and Kubinsk Beds,301,11,-18,circle,2.766,0,436,419,black,byPlateId,0.688888889
6954,Gotland Limestones,301,20.8,167.8,circle,4.0629,0,436,421,black,byPlateId,0.908888889
6954,Gotland Limestones,301,-20.8,-12.2,circle,4.0629,0,436,421,black,byPlateId,0.908888889
6955,Ennerdale Basic Intrusions,315,-21.9,2,circle,3.4472,0,433,425,black,byPlateId,0.804444444
6955,Ennerdale Basic Intrusions,315,21.9,-178,circle,3.4472,0,433,425,black,byPlateId,0.804444444
6956,Mereenie Sandstone,8011,41.5,220.5,circle,3.4117,0,461,398,black,byPlateId,0.798422392
6956,Mereenie Sandstone,8011,-41.5,40.5,circle,3.4117,0,461,398,black,byPlateId,0.798422392
6957,Mereenie Sandstone,8011,15.7,62.7,circle,1.2464,0,461,398,black,byPlateId,0.431111111
6957,Mereenie Sandstone,8011,-15.7,-117.3,circle,1.2464,0,461,398,black,byPlateId,0.431111111
6958,Springdale Group Volcanics,101,7,100,circle,0.8927,0,434,425,black,byPlateId,0.371111111
6958,Springdale Group Volcanics,101,-7,-80,circle,0.8927,0,434,425,black,byPlateId,0.371111111
6959,Springdale Group Redbeds,101,24,98,circle,1.5477,0,434,425,black,byPlateId,0.482222222
6959,Springdale Group Redbeds,101,-24,-82,circle,1.5477,0,434,425,black,byPlateId,0.482222222
6960,Kosistekskaya suite,301,-6,235,circle,1.849,0,461,398,black,byPlateId,0.533333333
6960,Kosistekskaya suite,301,6,55,circle,1.849,0,461,398,black,byPlateId,0.533333333
6961,Tortworth Volcanics,315,6.6,124.2,circle,3.9843,0,431,428,black,byPlateId,0.895555556
6961,Tortworth Volcanics,315,-6.6,-55.8,circle,3.9843,0,431,428,black,byPlateId,0.895555556
6962,Borrolan syenite,303,18.4,146.9,circle,3.6175,0,444,416,black,byPlateId,0.833333333
6962,Borrolan syenite,303,-18.4,-33.1,circle,3.6175,0,444,416,black,byPlateId,0.833333333
6963,Loch Ailsh complex,303,15.6,141.3,circle,3.6044,0,444,416,black,byPlateId,0.831111111
6963,Loch Ailsh complex,303,-15.6,-38.7,circle,3.6044,0,444,416,black,byPlateId,0.831111111
6964,Achmelvich dyke,303,16.5,150.6,circle,3.159,0,444,416,black,byPlateId,0.755555556
6964,Achmelvich dyke,303,-16.5,-29.4,circle,3.159,0,444,416,black,byPlateId,0.755555556
6965,Lamprophyre dykes,303,15.5,144.5,circle,3.3293,0,444,416,black,byPlateId,0.784444444
6965,Lamprophyre dykes,303,-15.5,-35.5,circle,3.3293,0,444,416,black,byPlateId,0.784444444
6966,Walli and Mt Pleasant Andesites,1853,31.6,219.4,circle,2.2027,0,444,416,black,byPlateId,0.593333333
6966,Walli and Mt Pleasant Andesites,1853,-31.6,39.4,circle,2.2027,0,444,416,black,byPlateId,0.593333333
6967,La Lombardiere Volcanics,305,28,141,circle,1.718,0,444,416,black,byPlateId,0.511111111
6967,La Lombardiere Volcanics,305,-28,-39,circle,1.718,0,444,416,black,byPlateId,0.511111111
6968,Urucum Formation,201,34,344,circle,3.421,0,444,416,black,byPlateId,0.8
6968,Urucum Formation,201,-34,164,circle,3.421,0,444,416,black,byPlateId,0.8
6969,Black diabases,305,27,133,circle,3.814,0,444,416,black,byPlateId,0.866666667
6969,Black diabases,305,-27,-47,circle,3.814,0,444,416,black,byPlateId,0.866666667
6970,Jacadigo Series,201,18.7,359.8,circle,2.0586,0,444,416,black,byPlateId,0.568888889
6970,Jacadigo Series,201,-18.7,179.8,circle,2.0586,0,444,416,black,byPlateId,0.568888889
6971,Zmeimiy Island Redbeds,301,6,128,circle,3.814,0,444,416,black,byPlateId,0.866666667
6971,Zmeimiy Island Redbeds,301,-6,-52,circle,3.814,0,444,416,black,byPlateId,0.866666667
6972,Yarsk Group,401,67,162,circle,3.683,0,444,416,black,byPlateId,0.844444444
6972,Yarsk Group,401,-67,-18,circle,3.683,0,444,416,black,byPlateId,0.844444444
6973,Dneister Limestones and Dolomites,301,43,165,circle,3.683,0,437,423,black,byPlateId,0.844444444
6973,Dneister Limestones and Dolomites,301,-43,-15,circle,3.683,0,437,423,black,byPlateId,0.844444444
6974,Sette Daban Limestones,401,-11,62,circle,2.111,0,444,416,black,byPlateId,0.577777778
6974,Sette Daban Limestones,401,11,-118,circle,2.111,0,444,416,black,byPlateId,0.577777778
6975,South Mugojary Igneous Rocks and Sediments,514,14.3,150.4,circle,3.945,0,444,416,black,byPlateId,0.888888889
6975,South Mugojary Igneous Rocks and Sediments,514,-14.3,-29.6,circle,3.945,0,444,416,black,byPlateId,0.888888889
6976,South Mugojary Sediments,514,13.4,140.8,circle,3.683,0,444,416,black,byPlateId,0.844444444
6976,South Mugojary Sediments,514,-13.4,-39.2,circle,3.683,0,444,416,black,byPlateId,0.844444444
6977,North Mugojary Volcanics and Sediments,301,0.1,159.7,circle,2.111,0,444,416,black,byPlateId,0.577777778
6977,North Mugojary Volcanics and Sediments,301,-0.1,-20.3,circle,2.111,0,444,416,black,byPlateId,0.577777778
6978,North Mugojary Volcanics and Sediments,301,-2.8,169.6,circle,3.159,0,444,416,black,byPlateId,0.755555556
6978,North Mugojary Volcanics and Sediments,301,2.8,-10.4,circle,3.159,0,444,416,black,byPlateId,0.755555556
6979,North Mugojary Volcanics and Sediments,301,-1.9,165.1,circle,3.29,0,444,416,black,byPlateId,0.777777778
6979,North Mugojary Volcanics and Sediments,301,1.9,-14.9,circle,3.29,0,444,416,black,byPlateId,0.777777778
6980,Primorye Sediments and Tuff-sediments,628,44.2,5.7,circle,3.2638,0,444,416,black,byPlateId,0.773333333
