9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 101 4500.0   -inf UN   0   0   0     0
  -6.5066  -48.3360 2
  -6.7028  -48.2469 2
  -6.8413  -48.1964 2
  -7.0423  -48.1208 2
  -7.1829  -48.0687 2
  -7.3744  -48.0262 2
  -7.5783  -47.5912 2
  -7.7481  -47.1929 2
  -7.9791  -47.0967 2
  -8.2048  -47.0184 2
  -8.4257  -46.8869 2
  -8.5771  -46.7910 2
  -8.6916  -46.7122 2
  -8.8591  -46.5588 2
  -8.9899  -46.4960 2
  -9.1156  -46.4356 2
  -9.2183  -46.3566 2
  -9.3545  -46.2437 2
  -9.5141  -46.1243 2
  -9.6590  -46.0174 2
  -9.7737  -45.9677 2
  -9.8521  -45.9349 2
  -9.9482  -45.8226 2
 -10.0216  -45.7079 2
 -10.0976  -45.3483 2
 -10.1783  -45.0488 2
 -10.2611  -44.8986 2
 -10.3647  -44.7165 2
 -10.3968  -44.3457 2
 -10.4604  -44.3662 2
 -10.5210  -44.3147 2
 -10.6135  -44.1153 2
 -10.7101  -43.9214 2
 -10.7739  -43.8202 2
 -10.8750  -43.6861 2
 -11.0030  -43.5495 2
 -11.1425  -43.4032 2
 -11.2225  -43.2980 2
 -11.3014  -43.1721 2
 -11.4007  -42.7968 2
 -11.4653  -42.7814 2
 -11.5178  -42.7294 2
 -11.5485  -42.6837 2
 -11.5854  -42.6009 2
 -11.6455  -42.5141 2
 -11.6980  -42.4508 2
 -11.7360  -42.3960 2
 -11.8034  -42.3080 2
 -11.8417  -42.2654 2
 -11.8987  -42.1989 2
 -11.9501  -42.1197 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 132 4500.0   -inf UN   0   0   0     0
  -1.9615  -95.1705 3
  -2.1266  -95.8265 2
  -1.6239  -95.7585 2
  -1.0792  -95.2074 2
  -0.5536  -94.5955 2
  -0.1116  -94.4116 2
   0.3549  -94.3563 2
   0.2549  -93.8140 2
   0.1934  -93.2009 2
   0.1890  -92.4166 2
   0.1621  -91.7602 2
   0.0800  -91.2743 2
   0.0067  -90.7649 2
  -0.0942  -90.0315 2
  -0.1003  -89.5590 2
  -0.1865  -88.9611 2
  -0.3762  -88.3543 2
  -0.4610  -87.6712 2
  -0.5332  -87.0940 2
  -0.5912  -86.5542 2
  -0.6635  -86.0603 2
  -0.7112  -85.5377 2
  -0.7945  -84.9810 2
  -0.9378  -84.2692 2
  -0.9763  -83.7631 2
  -1.3351  -83.8155 2
  -1.8151  -83.9272 2
  -2.4026  -84.0747 2
  -2.1613  -84.6936 2
  -2.3438  -85.4162 2
  -2.9531  -85.8388 2
  -3.6541  -86.1836 2
  -4.0051  -86.5831 2
  -4.0388  -87.5542 2
  -3.9878  -88.0531 2
  -3.8106  -88.5928 2
  -3.6234  -89.0385 2
  -3.4397  -89.5937 2
  -3.3128  -90.4243 2
  -2.9466  -91.0986 2
  -2.4008  -91.5770 2
  -2.2013  -92.2682 2
  -2.1167  -92.9981 2
  -2.0343  -93.4572 2
  -1.9816  -94.0880 2
  -1.9280  -94.6683 2
  -1.9615  -95.1705 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 133 4500.0   -inf UN   0   0   0     0
  -5.5746  -97.6379 3
  -5.1853  -97.6589 2
  -4.6650  -97.6061 2
  -4.0991  -97.5201 2
  -3.1165  -97.2476 2
  -2.6095  -96.5514 2
  -2.1612  -96.1027 2
  -1.5352  -95.7406 2
  -0.8304  -95.4172 2
  -0.7107  -94.7517 2
  -0.7119  -94.2486 2
  -0.8054  -93.6737 2
  -0.9017  -93.0485 2
  -1.0158  -92.5964 2
  -1.1511  -91.8745 2
  -1.3984  -91.1994 2
  -1.9764  -90.7608 2
  -2.3890  -90.1145 2
  -2.5741  -89.2956 2
  -2.7965  -88.7552 2
  -3.0148  -88.3242 2
  -3.2298  -87.7989 2
  -3.3161  -87.3054 2
  -3.3516  -86.3351 2
  -3.0299  -85.9118 2
  -2.3553  -85.5179 2
  -1.7777  -85.0530 2
  -1.6475  -84.3194 2
  -1.9325  -83.7195 2
  -2.4264  -83.6345 2
  -2.6970  -83.5550 2
  -2.8719  -84.0880 2
  -3.1422  -84.6702 2
  -3.4523  -85.1931 2
  -3.7399  -85.5816 2
  -4.1896  -86.1059 2
  -4.6704  -86.6980 2
  -5.1056  -87.3549 2
  -5.5189  -88.2485 2
  -5.8828  -89.1487 2
  -6.1688  -89.9477 2
  -6.4130  -91.0069 2
  -6.5554  -91.9171 2
  -6.6457  -92.7256 2
  -6.6462  -93.2641 2
  -6.4871  -93.9323 2
  -6.1774  -94.6539 2
  -5.8178  -95.1837 2
  -5.5449  -95.7676 2
  -5.4432  -96.4598 2
  -5.4656  -97.1928 2
  -5.5746  -97.6379 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 124 4500.0   -inf UN   0   0   0     0
   5.8725  -60.9708 3
   5.9049  -61.6090 2
   5.9032  -61.9686 2
   5.9066  -62.2655 2
   5.8040  -62.5277 2
   5.5938  -62.6875 2
   5.3034  -62.9144 2
   4.9118  -63.2743 2
   4.5296  -63.7166 2
   4.1935  -64.1733 2
   3.9128  -64.5294 2
   3.7288  -64.8622 2
   3.5929  -65.1400 2
   3.4876  -65.7552 2
   3.4658  -66.6047 2
   3.5745  -67.5674 2
   3.8565  -68.3775 2
   4.2163  -68.9364 2
   4.1894  -69.4773 2
   4.0253  -69.8716 2
   3.8745  -70.4555 2
   3.7486  -71.0013 2
   3.6303  -71.3682 2
   3.5573  -71.7738 2
   3.4634  -72.3604 2
   3.3039  -72.9361 2
   3.0669  -73.5526 2
   2.7326  -74.1600 2
   2.3863  -74.5685 2
   2.0490  -74.9544 2
   1.5775  -75.4431 2
   1.2097  -75.8130 2
   0.8348  -76.2296 2
   0.5072  -76.6186 2
   0.2521  -76.8855 2
  -0.0793  -77.3364 2
  -0.3185  -77.8383 2
  -0.4411  -78.3087 2
  -0.6585  -79.0362 2
  -0.8607  -79.5912 2
  -1.0632  -80.1184 2
  -1.2877  -80.6662 2
  -1.5976  -81.2432 2
  -1.9365  -82.0168 2
  -2.3811  -82.7396 2
  -2.6970  -83.5550 2
  -2.4264  -83.6345 2
  -1.9325  -83.7195 2
  -1.3571  -83.5303 2
  -0.8863  -83.3844 2
  -0.5322  -83.3065 2
   0.0686  -83.0459 2
   0.5342  -83.0193 2
   0.8865  -82.9696 2
   1.3389  -82.9196 2
   1.7243  -82.8628 2
   2.0857  -82.6893 2
   2.4563  -82.3254 2
   2.6539  -81.9940 2
   2.7373  -81.4761 2
   2.5474  -80.7109 2
   2.4741  -79.8575 2
   2.4533  -79.3704 2
   2.4527  -78.9502 2
   2.4288  -78.4585 2
   2.4607  -77.8378 2
   2.6167  -77.1866 2
   2.8604  -76.5265 2
   3.1353  -76.1064 2
   3.4573  -75.5577 2
   3.6045  -75.0253 2
   3.6235  -74.5945 2
   3.6689  -73.9866 2
   3.8434  -73.4595 2
   4.0088  -72.7961 2
   4.1905  -72.2179 2
   4.3732  -71.7783 2
   4.5641  -71.2073 2
   4.6718  -70.8087 2
   4.8687  -70.2697 2
   5.0555  -70.1013 2
   5.0701  -69.4822 2
   5.2904  -68.7579 2
   5.5061  -68.1000 2
   5.7093  -67.5551 2
   5.8845  -67.1369 2
   6.0250  -66.7375 2
   6.3498  -66.2775 2
   6.6379  -65.8072 2
   7.0267  -65.2472 2
   7.2681  -64.6252 2
   7.6167  -64.4868 2
   7.7799  -63.7925 2
   7.9906  -63.4560 2
   8.1299  -63.1711 2
   8.3533  -62.8091 2
   8.5496  -62.4021 2
   8.8848  -61.8766 2
   9.1162  -61.4679 2
   9.2707  -61.2388 2
   9.4628  -60.9010 2
   9.6842  -60.5576 2
   9.9118  -60.2157 2
  10.1547  -59.8972 2
  10.2803  -59.5028 2
   9.9461  -59.2893 2
   9.5036  -59.1629 2
   9.2967  -59.3868 2
   8.8495  -59.4932 2
   8.5267  -59.5110 2
   8.2124  -59.5237 2
   7.8585  -59.5211 2
   7.5863  -59.5144 2
   7.2274  -59.4723 2
   6.8935  -59.4536 2
   6.4869  -59.4621 2
   6.0477  -59.3089 2
   5.6275  -58.7832 2
   5.4964  -59.1235 2
   5.3921  -59.3738 2
   5.4758  -59.8124 2
   5.7863  -60.3096 2
   5.8725  -60.9708 2
  99.0000   99.0000 3
9999 9999,GPML,nolabel,none,black,byPlateId,1,0
 131 4500.0   -inf UN   0   0   0     0
  -2.0417  -95.0735 3
  -1.9567  -95.6186 2
  -1.3080  -95.5278 2
  -0.6934  -95.5615 2
  -0.0964  -95.9716 2
  -0.1093  -95.3271 2
   0.0311  -94.6237 2
   0.3430  -93.9341 2
   0.6552  -93.3998 2
   1.1040  -92.7866 2
   1.5093  -92.0518 2
   1.8053  -91.4198 2
   2.1909  -90.8979 2
   2.6435  -90.7774 2
   3.1517  -90.5866 2
   3.4872  -90.0983 2
   3.1183  -89.5681 2
   2.6649  -89.1869 2
   2.2777  -88.9056 2
   1.7124  -88.4940 2
   1.0382  -88.0457 2
   0.6012  -87.7801 2
   0.2179  -87.5433 2
  -0.1845  -87.3706 2
